dataset,scaler,model,tuning_method,best_params,Accuracy,ROC-AUC,F1-Score,Precision,Recall,MCC,Kappa,Log Loss,train_Accuracy,train_ROC-AUC,train_F1-Score,train_Precision,train_Recall,train_MCC,train_Kappa,train_Log Loss
adolescent,Normalizer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 3.2521088005944945, 'penalty': 'l2', 'solver': 'liblinear'})",0.9047619047619048,1.0,0.9166666666666666,1.0,0.8461538461538461,0.8227533512074423,0.8073394495412844,0.5607646970306389,0.94,0.9783999999999999,0.9411764705882353,0.9230769230769231,0.96,0.8807048459279792,0.88,0.6025004179921192
adolescent,Normalizer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.7401973698296331, 'n_estimators': 93})",0.9047619047619048,1.0,0.9166666666666666,1.0,0.8461538461538461,0.8227533512074423,0.8073394495412844,0.4444572964135011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4437452278901133
adolescent,Normalizer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 25, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 421})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30327670330265205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25507991659049245
adolescent,Normalizer,SVM,BayesianOptimization,"OrderedDict({'C': 27.364528220782454, 'gamma': 0.00032780432870046914, 'kernel': 'poly'})",0.9523809523809523,0.0,0.96,1.0,0.9230769230769231,0.9058216273156766,0.9014084507042254,0.6876361284957621,0.93,0.028800000000000003,0.9333333333333333,0.8909090909090909,0.98,0.8643325211229224,0.86,0.6934447373376842
adolescent,MaxAbsScaler,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7619047619047619,0.8221153846153847,0.782608695652174,0.9,0.6923076923076923,0.5516187241049897,0.5291479820627802,6.933415710100416,0.96,0.9952,0.9607843137254902,0.9423076923076923,0.98,0.9207368843792509,0.92,0.07863739491996764
adolescent,MaxAbsScaler,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1853045083881351,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16
adolescent,MaxAbsScaler,LDA,GridSearch,{'solver': 'svd'},0.9523809523809523,1.0,0.96,1.0,0.9230769230769231,0.9058216273156766,0.9014084507042254,0.04692718061065448,0.99,0.9995999999999999,0.9900990099009901,0.9803921568627451,1.0,0.9801960588196069,0.98,0.0362380277722728
adolescent,MaxAbsScaler,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.9047619047619048,0.9903846153846154,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.7980769230769231,0.7980769230769231,0.13522227954169644,0.9,0.9312,0.8958333333333334,0.9347826086956522,0.86,0.8025723539051279,0.8,0.7341051483067299
adolescent,MaxAbsScaler,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 3.2521088005944945, 'penalty': 'l2', 'solver': 'liblinear'})",0.9523809523809523,1.0,0.96,1.0,0.9230769230769231,0.9058216273156766,0.9014084507042254,0.1208474986008807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1138516181442075
adolescent,MaxAbsScaler,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.7401973698296331, 'n_estimators': 93})",0.9523809523809523,1.0,0.96,1.0,0.9230769230769231,0.9058216273156766,0.9014084507042254,0.4181744921760747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4346389132244102
adolescent,MaxAbsScaler,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 25, 'min_samples_leaf': 5, 'min_samples_split': 11, 'n_estimators': 386})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3228463040984563,0.99,0.9995999999999999,0.9900990099009901,0.9803921568627451,1.0,0.9801960588196069,0.98,0.31524206352576284
adolescent,MaxAbsScaler,SVM,BayesianOptimization,"OrderedDict({'C': 32.52108800594495, 'gamma': 0.044662788252242826, 'kernel': 'rbf'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05073478886669966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.031923045226867654
